ID,Year_Birth,Age,Education,Marital_Status,Income,Kidhome,Teenhome,Sum of House Member,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,Money Spent,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Freq Purchased,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Promos
5524,1957,57,Bachelor,Single,58138.0,0,0,1,2012-09-04,58,635,88,546,172,88,1617,88,3,8,10,4,7,22,0,0,0,0,0,0,1,1
2174,1954,60,Bachelor,Single,46344.0,1,1,3,2014-03-08,38,11,1,6,2,1,27,6,2,1,1,2,5,4,0,0,0,0,0,0,0,0
4141,1965,49,Bachelor,Married,71613.0,0,0,2,2013-08-21,26,426,49,127,111,21,776,42,1,8,2,10,4,20,0,0,0,0,0,0,0,0
6182,1984,30,Bachelor,Married,26646.0,1,0,3,2014-02-10,26,11,4,20,10,3,53,5,2,2,0,4,6,6,0,0,0,0,0,0,0,0
5324,1981,33,Doctoral,Married,58293.0,1,0,3,2014-01-19,94,173,43,118,46,27,422,15,5,5,3,6,5,14,0,0,0,0,0,0,0,0
7446,1967,47,Master,Married,62513.0,0,1,3,2013-09-09,16,520,42,98,0,42,716,14,2,6,4,10,6,20,0,0,0,0,0,0,0,0
965,1971,43,Bachelor,Divorced,55635.0,0,1,2,2012-11-13,34,235,65,164,50,49,590,27,4,7,3,7,6,17,0,0,0,0,0,0,0,0
6177,1985,29,Doctoral,Married,33454.0,1,0,3,2013-05-08,32,76,10,56,3,1,169,23,2,4,0,4,8,8,0,0,0,0,0,0,0,0
4855,1974,40,Doctoral,Married,30351.0,1,0,3,2013-06-06,19,14,0,24,3,3,46,2,1,3,0,2,9,5,0,0,0,0,0,0,1,1
5899,1950,64,Doctoral,Married,5648.0,1,1,4,2014-03-13,68,28,0,6,1,1,49,13,1,1,0,0,20,1,1,0,0,0,0,0,0,1
1994,1983,31,Bachelor,Married,51651.0,1,0,3,2013-11-15,11,5,5,6,0,2,19,1,1,1,0,2,7,3,0,0,0,0,0,0,0,0
387,1976,38,Non-Graduate,Married,7500.0,0,0,2,2012-11-13,59,6,16,11,11,1,61,16,1,2,0,3,8,5,0,0,0,0,0,0,0,0
2125,1959,55,Bachelor,Divorced,63033.0,0,0,1,2013-11-15,82,194,61,480,225,112,1102,30,1,3,4,8,2,15,0,0,0,0,0,0,0,0
8180,1952,62,Master,Divorced,59354.0,1,1,3,2013-11-15,53,233,2,53,3,5,310,14,3,6,1,5,6,12,0,0,0,0,0,0,0,0
2569,1987,27,Bachelor,Married,17323.0,0,0,2,2012-10-10,38,3,14,17,6,1,46,5,1,1,0,3,8,4,0,0,0,0,0,0,0,0
2114,1946,68,Doctoral,Single,82800.0,0,0,1,2012-11-24,23,1006,22,115,59,68,1315,45,1,7,6,12,3,25,0,0,1,1,0,0,1,3
9736,1980,34,Bachelor,Married,41850.0,1,1,4,2012-12-24,51,53,5,19,2,13,96,4,3,3,0,3,8,6,0,0,0,0,0,0,0,0
4939,1946,68,Bachelor,Married,37760.0,0,0,2,2012-08-31,20,84,5,38,150,12,317,28,2,4,1,6,7,11,0,0,0,0,0,0,0,0
6565,1949,65,Master,Married,76995.0,0,1,3,2013-03-28,91,1012,80,498,0,16,1782,176,2,11,4,9,5,24,0,0,0,1,0,0,0,1
2278,1985,29,Master,Single,33812.0,1,0,2,2012-11-03,86,4,17,19,30,24,133,39,2,2,1,3,6,6,0,0,0,0,0,0,0,0
9360,1982,32,Bachelor,Married,37040.0,0,0,2,2012-08-08,41,86,2,73,69,38,316,48,1,4,2,5,8,11,0,0,0,0,0,0,0,0
5376,1979,35,Bachelor,Married,2447.0,1,0,3,2013-01-06,42,1,1,1725,1,1,1730,1,15,0,28,0,1,28,0,0,0,0,0,0,0,0
1993,1949,65,Doctoral,Married,58607.0,0,1,3,2012-12-23,63,867,0,86,0,0,972,19,3,2,3,9,8,14,0,1,0,0,0,0,0,1
